FID,Id,Name,zone,owner,resp_pers,height,floor,area_sqm,bldg_m,3d_model,lat,long,attach
73,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03170045,99.89771174,
74,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03138589,99.89775928,
75,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03189817,99.89836774,
76,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03160159,99.89841528,
77,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03111626,99.8984533,
78,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03156564,99.89908078,
79,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03186222,99.89903324,
80,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03214982,99.89901423,
81,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03215881,99.89967973,
82,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03181729,99.89972727,
83,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.031305,99.89978431,
84,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.032024,99.90032622,
85,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03171842,99.90037376,
86,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03199704,99.90100123,
87,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03149374,99.90106778,
88,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03121512,99.90147659,
89,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03189817,99.90160969,
90,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03171842,99.90189491,
91,0,เฟรช มาร์ท, , , ,0,0,0, , ,19.0317892,99.88918142,
92,0,คณะวิทยาศาสตร์กา,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.0302175,99.89628329,
